date	IE	Chrome	Firefox	Safari	Opera
11-Oct-13	21.62	12.36	25.58	19.13	21.22
11-Oct-14	21.95	12.15	25.78	18.79	21.25
11-Oct-15	17.64	14.77	25.96	20.16	21.39
11-Oct-16	17.27	14.65	25.98	20.59	21.44
11-Oct-17	22.74	11.87	25.01	19.12	21.17
11-Oct-18	22.14	12.22	25.26	19.1	21.19
11-Oct-19	21.92	12.42	25.3	19.07	21.21
11-Oct-20	22.41	12.08	25.28	18.94	21.18
11-Oct-21	22.74	12.23	25.19	18.5	21.25
11-Oct-22	16.95	15.45	26.03	20.06	21.42
11-Oct-23	17.52	14.73	25.79	20.46	21.43
11-Oct-24	22.69	12.14	24.95	18.98	21.15
11-Oct-25	22.31	12.26	25.1	19.04	21.2
11-Oct-26	22.22	12.28	25.17	19.08	21.16
11-Oct-27	22.62	12.36	24.98	18.8	21.15
11-Oct-28	22.76	12.36	25.05	18.55	21.19
11-Oct-29	18.92	14.36	25.34	19.99	21.3
11-Oct-30	18.06	14.58	25.63	20.26	21.39
11-Oct-31	22.1	12.45	25.18	18.97	21.2
11-Nov-1	21.05	13	25.51	19.14	21.21
11-Nov-2	21.26	13.22	25.22	19.03	21.18
11-Nov-3	21.21	13.5	24.99	19.01	21.2
11-Nov-4	21.64	13.21	25.05	18.78	21.23
11-Nov-5	17.13	15.68	25.46	20.29	21.35
11-Nov-6	15.97	15.88	25.85	20.78	21.43
11-Nov-7	21.41	13.06	24.95	19.33	21.17
11-Nov-8	21.69	13.09	24.86	19.1	21.17
11-Nov-9	21.32	13.11	25.13	19.12	21.22
11-Nov-10	21.3	13.33	25.12	18.92	21.24
11-Nov-11	20.68	13.8	25.24	18.96	21.23
11-Nov-12	17.02	16.11	25.4	20.09	21.3
11-Nov-13	16.95	15.88	25.48	20.27	21.34
11-Nov-14	21.76	13.15	24.82	19.05	21.14
11-Nov-15	21.54	13.17	24.96	19.09	21.16
11-Nov-16	21.88	13.1	24.88	18.87	21.18
11-Nov-17	22.07	12.97	24.94	18.75	21.19
11-Nov-18	22.26	12.97	25.02	18.44	21.21
11-Nov-19	17.89	15.56	25.29	19.87	21.32
11-Nov-20	17.22	15.34	25.6	20.37	21.4
11-Nov-21	22.06	12.93	24.9	18.87	21.15
11-Nov-22	22.27	13	24.83	18.65	21.17
11-Nov-23	21.64	13.48	24.99	18.59	21.22
11-Nov-24	20.29	14.33	25.28	18.64	21.35
11-Nov-25	20.75	13.67	25.34	18.83	21.3
11-Nov-26	18.82	14.92	24.88	20.03	21.27
11-Nov-27	18	15.17	25.26	20.1	21.37
11-Nov-28	22.31	12.51	24.82	19.1	21.17
11-Nov-29	21.85	12.91	24.99	18.93	21.22
11-Nov-30	21.19	13.4	25.06	19.11	21.16
11-Dec-1	21.25	13.61	24.98	18.95	21.12
11-Dec-2	20.63	14.04	25.39	18.67	21.16
11-Dec-3	16.95	16.13	25.46	20.06	21.32
11-Dec-4	16.83	15.8	25.44	20.49	21.35
11-Dec-5	20.85	13.78	24.95	19.16	21.17
11-Dec-6	21.04	13.61	24.94	19.14	21.18
11-Dec-7	21.42	13.73	24.72	18.84	21.2
11-Dec-8	20.92	13.74	25.07	18.94	21.24
11-Dec-9	20.98	13.59	25.34	18.76	21.24
11-Dec-10	16.85	15.92	25.35	20.44	21.35
11-Dec-11	16.54	15.19	26.65	20.18	21.35
11-Dec-12	19.77	13.35	26.74	18.91	21.15
11-Dec-13	21.39	13.39	24.98	18.95	21.21
11-Dec-14	21.09	13.64	25.01	18.96	21.21
11-Dec-15	20.58	14.14	25.16	18.79	21.24
11-Dec-16	21	13.93	25.13	18.58	21.27
11-Dec-17	17.11	16.12	25.24	20.02	21.43
11-Dec-18	17.19	15.81	25.32	20.14	21.45
11-Dec-19	20.62	14.31	24.95	18.8	21.23
11-Dec-20	20.6	14.09	25.16	18.79	21.28
11-Dec-21	20.49	14.48	25.03	18.64	21.27
11-Dec-22	19.92	14.75	25.24	18.69	21.3
11-Dec-23	19.83	15.09	24.92	18.7	21.37
11-Dec-24	19.02	15.65	24.09	19.73	21.43
11-Dec-25	18.62	15.8	24.36	19.56	21.57
11-Dec-26	20.12	15.1	24.33	19.03	21.35
11-Dec-27	21.76	14.06	24.18	18.68	21.24
11-Dec-28	21.71	14.17	24.17	18.63	21.24
11-Dec-29	21.89	14.15	24.04	18.6	21.23
11-Dec-30	21.23	14.41	24.15	18.86	21.27
11-Dec-31	20.41	14.61	23.95	19.7	21.24
12-Jan-1	19.01	14.9	24.48	20.24	21.3
12-Jan-2	20.19	14.5	24.34	19.75	21.15
12-Jan-3	22	13.77	24.17	18.88	21.11
12-Jan-4	21.69	14.04	24.28	18.77	21.13
12-Jan-5	21.13	14.44	24.39	18.79	21.16
12-Jan-6	21.27	14.48	24.34	18.62	21.21
12-Jan-7	17.72	16.29	24.43	20.18	21.3
12-Jan-8	17.37	16.31	24.53	20.36	21.36
12-Jan-9	20.12	14.71	24.69	19.24	21.16
12-Jan-10	19.19	15.37	24.96	19.21	21.18
12-Jan-11	19.9	15.04	24.7	19.08	21.19
12-Jan-12	19.59	15.16	24.79	19.18	21.2
12-Jan-13	20.48	14.79	24.58	18.82	21.22
12-Jan-14	15.72	17.33	24.91	20.61	21.34
12-Jan-15	15.8	17.08	25.06	20.57	21.4
12-Jan-16	18.6	15.7	24.84	19.55	21.22
12-Jan-17	20.19	15.06	24.42	19.03	21.22
12-Jan-18	19.65	15.43	24.56	19.02	21.26
12-Jan-19	18.81	15.57	25.06	19.14	21.31
12-Jan-20	19.08	15.58	24.96	18.98	21.32
12-Jan-21	14.69	17.92	25.07	20.79	21.42
12-Jan-22	13.88	18.15	25.51	20.88	21.49
12-Jan-23	19.39	15.28	24.69	19.31	21.22
12-Jan-24	18.91	15.64	24.86	19.23	21.26
12-Jan-25	19.07	15.62	24.68	19.15	21.36
12-Jan-26	19.4	15.49	24.61	19.09	21.3
12-Jan-27	18.9	15.8	24.94	18.97	21.29
12-Jan-28	13.78	18.54	25.33	20.8	21.44
12-Jan-29	13.61	18.45	25.36	20.99	21.5
12-Jan-30	18.53	15.94	24.72	19.45	21.26
12-Jan-31	18.74	15.83	24.61	19.3	21.44
12-Feb-1	18.85	15.92	24.63	19.07	21.46
12-Feb-2	19.27	15.77	24.55	18.86	21.48
12-Feb-3	19.75	15.63	24.44	18.71	21.36
12-Feb-4	16.01	17.92	24.39	20.16	21.4
12-Feb-5	15.07	18.11	24.77	20.48	21.46
12-Feb-6	19.38	15.85	24.3	19.14	21.22
12-Feb-7	19.54	15.76	24.28	19.06	21.24
12-Feb-8	19.16	16.15	24.32	19.04	21.24
12-Feb-9	19.54	15.86	24.35	18.92	21.23
12-Feb-10	19.39	15.74	24.66	18.78	21.33
12-Feb-11	14.62	18.34	24.99	20.43	21.53
12-Feb-12	14.47	18.15	25.07	20.56	21.64
12-Feb-13	19.22	15.66	24.63	18.97	21.42
12-Feb-14	18.97	15.79	24.88	18.8	21.45
12-Feb-15	18.28	16.11	24.94	19.13	21.45
12-Feb-16	18.23	16.31	24.85	19.08	21.43
12-Feb-17	18.15	16.6	24.86	18.87	21.42
12-Feb-18	14.05	18.92	25.01	20.29	21.63
12-Feb-19	14.38	18.23	25.21	20.39	21.7
12-Feb-20	17.23	16.53	24.94	19.72	21.48
12-Feb-21	18.31	16.22	24.58	19.36	21.43
12-Feb-22	18.65	16.27	24.44	19.19	21.36
12-Feb-23	19.21	16.1	24.38	18.86	21.35
12-Feb-24	19.53	16.02	24.31	18.7	21.35
12-Feb-25	14.67	18.54	24.64	20.62	21.43
12-Feb-26	13.55	18.98	24.95	20.92	21.5
12-Feb-27	18.81	16.28	24.31	19.29	21.23
12-Feb-28	18.76	16.24	24.36	19.29	21.25
12-Feb-29	18.8	16.18	24.43	19.23	21.26
12-Mar-1	18.76	16.36	24.52	18.94	21.33
12-Mar-2	19.05	16.38	24.37	18.76	21.34
12-Mar-3	15.11	18.76	24.54	20.04	21.45
12-Mar-4	14.14	19.12	24.76	20.42	21.47
12-Mar-5	18.84	16.47	24.28	19.06	21.24
12-Mar-6	18.75	16.7	24.21	18.98	21.27
12-Mar-7	18.54	16.81	24.16	19.15	21.23
12-Mar-8	18.92	16.63	24.24	18.86	21.25
12-Mar-9	18.5	17.23	24.37	18.47	21.32
12-Mar-10	15.02	19.05	24.41	19.93	21.49
12-Mar-11	14.43	18.86	24.73	20.36	21.52
12-Mar-12	19.29	16.11	24.19	19.09	21.21
12-Mar-13	19.06	16.21	24.33	19.04	21.25
12-Mar-14	18.85	16.4	24.3	19.1	21.26
12-Mar-15	18.68	16.5	24.41	19.03	21.27
12-Mar-16	18.44	16.85	24.6	18.64	21.37
12-Mar-17	14.74	19.11	24.6	19.97	21.49
12-Mar-18	13.93	19.2	24.9	20.32	21.56
12-Mar-19	18.48	16.35	24.59	19.24	21.24
12-Mar-20	18.82	16.41	24.41	19.02	21.25
12-Mar-21	18.7	16.52	24.5	18.88	21.3
12-Mar-22	18.78	16.59	24.46	18.71	21.35
12-Mar-23	19.36	16.13	24.52	18.49	21.4
12-Mar-24	14.82	18.71	24.65	20.19	21.54
12-Mar-25	14.18	18.72	25	20.38	21.62
12-Mar-26	18.33	16.62	24.66	18.98	21.32
12-Mar-27	18.03	16.89	24.67	18.97	21.33
12-Mar-28	17.81	16.8	24.86	18.97	21.47
12-Mar-29	18.07	16.72	24.73	18.95	21.43
12-Mar-30	18.15	16.8	24.75	18.72	21.49
12-Mar-31	14.65	18.91	24.69	20.14	21.51
12-Apr-1	14.01	19.13	24.95	20.12	21.69
12-Apr-2	18.21	16.83	24.43	19.11	21.32
12-Apr-3	17.77	17.08	24.7	19.05	21.31
12-Apr-4	17.85	16.99	24.78	18.93	21.35
12-Apr-5	17.63	17.23	24.76	18.88	21.41
12-Apr-6	16.59	17.74	25	19.04	21.53
12-Apr-7	14.6	18.83	24.97	19.87	21.63
12-Apr-8	13.97	19.32	25	19.89	21.73
12-Apr-9	18.38	17.08	24.11	19.01	21.34
12-Apr-10	19.17	16.62	24.09	18.73	21.3
12-Apr-11	18.11	17.48	24.42	18.54	21.35
12-Apr-12	17.96	17.77	24.42	18.36	21.4
12-Apr-13	17.84	17.89	24.54	18.18	21.45
12-Apr-14	14.51	19.74	24.57	19.48	21.61
12-Apr-15	14.1	19.26	24.93	19.93	21.68
12-Apr-16	18.39	16.85	24.48	18.81	21.37
12-Apr-17	18.17	16.95	24.61	18.72	21.45
12-Apr-18	18.66	16.79	24.42	18.63	21.4
12-Apr-19	18.17	17.01	24.65	18.6	21.46
12-Apr-20	18.37	16.82	24.89	18.37	21.44
12-Apr-21	14.01	19.43	25.06	19.7	21.67
12-Apr-22	13.64	19.3	25.17	20.06	21.72
12-Apr-23	18.02	17.06	24.54	18.87	21.4
12-Apr-24	17.72	17.18	24.66	18.83	21.5
12-Apr-25	17.46	17.44	24.67	18.83	21.49
12-Apr-26	17.14	17.72	24.78	18.77	21.47
12-Apr-27	17.98	16.97	24.81	18.53	21.56
12-Apr-28	14.37	19.1	24.76	20.03	21.64
12-Apr-29	13.89	19.2	24.98	20.12	21.7
12-Apr-30	17.52	17.2	24.55	19.18	21.43
12-May-1	16.79	17.68	24.56	19.42	21.44
12-May-2	17.11	17.51	24.83	18.86	21.45
12-May-3	17.1	17.48	24.93	18.69	21.56
12-May-4	17.27	17.27	25.01	18.51	21.58
12-May-5	13.37	19.61	24.96	19.95	21.72
12-May-6	13.02	19.56	25.21	20.08	21.74
12-May-7	17.39	17.12	24.64	19.06	21.4
12-May-8	17.33	17.36	24.6	18.95	21.41
12-May-9	17.49	17.06	24.59	18.94	21.42
12-May-10	17.61	17.11	24.54	18.82	21.43
12-May-11	17.5	17.2	24.66	18.44	21.55
12-May-12	13.08	19.73	24.94	19.73	21.79
12-May-13	12.45	19.93	25.32	19.96	21.84
12-May-14	17.63	17.2	24.43	18.82	21.39
12-May-15	17.37	17.41	24.54	18.91	21.42
12-May-16	17.08	17.52	24.64	18.77	21.45
12-May-17	16.74	17.74	24.6	18.73	21.49
12-May-18	17.17	17.37	24.66	18.47	21.53
12-May-19	12.84	19.71	25.11	19.78	21.78
12-May-20	12.45	20	25.35	19.91	21.8
12-May-21	16.96	17.51	24.62	18.91	21.44
12-May-22	16.82	17.77	24.81	18.8	21.41
12-May-23	16.57	18.06	25.02	18.71	21.52
12-May-24	16.23	18.25	25.17	18.68	21.55
12-May-25	15.78	18.99	25.03	18.47	21.6
12-May-26	11.88	21.09	25.27	19.77	21.86
12-May-27	11.38	21.47	25.57	19.49	21.96
12-May-28	13.82	20.22	24.95	19.45	21.45
12-May-29	16.58	18.8	24.3	18.99	21.22
12-May-30	16.52	18.89	24.72	18.4	21.35
12-May-31	16.48	18.97	24.35	18.68	21.4
